!	1	2	3
&bc			 
headings1 = 	'timestep',	'time',	 'salinity', 'so4',       'n2',  
forzone   =  	0,             0,          1,      1,            1,
swibc 	  =     1,             0,          0,      0,            0,
1,0,34500,31050,89,
2,30,34500,31050,42,
3,61,34500,31050,87,
4,92,34500,31050,42,
5,120,34500,31050,53,
6,151,34500,31050,100,
7,181,34500,31050,80,
8,212,34500,31050,41,
9,242,34500,31050,86,
10,273,34500,31050,53,
11,304,34500,31050,92,
12,334,34500,31050,85,
13,365,34500,31050,35,
14,395,34500,31050,68,
15,426,34500,31050,46,
16,457,34500,31050,62,
17,486,34500,31050,48,
18,517,34500,31050,71,
19,547,34500,31050,40,
20,578,34500,31050,22,
21,608,34500,31050,70,
22,639,34500,31050,29,
23,670,34500,31050,20,
24,700,34500,31050,50,
25,731,34500,31050,66,
26,761,34500,31050,44,
27,792,34500,31050,53,
28,823,34500,31050,82,
29,851,34500,31050,14,
30,882,34500,31050,48,
31,912,34500,31050,95,
32,943,34500,31050,14,
33,973,34500,31050,100,
34,1004,34500,31050,47,
35,1035,34500,31050,74,
36,1065,34500,31050,22,
37,1096,34500,31050,94,
38,1126,34500,31050,51,
39,1157,34500,31050,85,
40,1188,34500,31050,84,
41,1216,34500,31050,15,
42,1247,34500,31050,50,
43,1277,34500,31050,81,
44,1308,34500,31050,28,
45,1338,34500,31050,73,
46,1369,34500,31050,99,
47,1400,34500,31050,84,
48,1430,34500,31050,30,
49,1461,34500,31050,33,
50,1491,34500,31050,71,
51,1522,34500,31050,89,
52,1553,34500,31050,70,
53,1581,34500,31050,87,
54,1612,34500,31050,83,
55,1642,34500,31050,25,
56,1673,34500,31050,20,
57,1703,34500,31050,54,
58,1734,34500,31050,74,
59,1765,34500,31050,87,
60,1795,34500,31050,93,
61,1826,34500,31050,42,
62,1856,34500,31050,28,
63,1887,34500,31050,2,
64,1918,34500,31050,16,
65,1947,34500,31050,93,
66,1978,34500,31050,83,
67,2008,34500,31050,51,
68,2039,34500,31050,14,
69,2069,34500,31050,86,
70,2100,34500,31050,55,
71,2131,34500,31050,9,
72,2161,34500,31050,61,
73,2192,34500,31050,39,
74,2222,34500,31050,74,
75,2253,34500,31050,18,
76,2284,34500,31050,95,
77,2312,34500,31050,57,
78,2343,34500,31050,5,
79,2373,34500,31050,22,
80,2404,34500,31050,22,
81,2434,34500,31050,56,
82,2465,34500,31050,87,
83,2496,34500,31050,12,
84,2526,34500,31050,81,
85,2557,34500,31050,12,
86,2587,34500,31050,66,
87,2618,34500,31050,34,
88,2649,34500,31050,88,
89,2677,34500,31050,18,
90,2708,34500,31050,55,
91,2738,34500,31050,47,
92,2769,34500,31050,7,
93,2799,34500,31050,74,
94,2830,34500,31050,64,
95,2861,34500,31050,86,
96,2891,34500,31050,86,
97,2922,34500,31050,93,
98,2952,34500,31050,15,
99,2983,34500,31050,88,
100,3014,34500,31050,7,
101,3042,34500,31050,56,
102,3073,34500,31050,99,
103,3103,34500,31050,13,
104,3134,34500,31050,32,
105,3164,34500,31050,83,
106,3195,34500,31050,19,
107,3226,34500,31050,58,
108,3256,34500,31050,80,
109,3287,34500,31050,16,
110,3317,34500,31050,49,
111,3348,34500,31050,49,
112,3379,34500,31050,26,
113,3408,34500,31050,4,
114,3439,34500,31050,65,
115,3469,34500,31050,34,
116,3500,34500,31050,41,
117,3530,34500,31050,99,
118,3561,34500,31050,83,
119,3592,34500,31050,80,
120,3622,34500,31050,8,
121,3653,34500,31050,75,
122,3683,34500,31050,80,
123,3714,34500,31050,57,
124,3745,34500,31050,22,
125,3773,34500,31050,99,
126,3804,34500,31050,15,
127,3834,34500,31050,20,
128,3865,34500,31050,34,
129,3895,34500,31050,3,
130,3926,34500,31050,0,
131,3957,34500,31050,3,
132,3987,34500,31050,15,
133,4018,34500,31050,16,
134,4048,34500,31050,84,
135,4079,34500,31050,33,
136,4110,34500,31050,88,
137,4138,34500,31050,76,
138,4169,34500,31050,69,
139,4199,34500,31050,57,
140,4230,34500,31050,8,
141,4260,34500,31050,26,
142,4291,34500,31050,65,
143,4322,34500,31050,42,
144,4352,34500,31050,37,
145,4383,34500,31050,79,
146,4413,34500,31050,91,
147,4444,34500,31050,18,
/
