&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
forzone_d =0,                    0,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1
deepbc =1,                    1,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    2,                    2,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    3,                    3,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    4,                    4,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    5,                    5,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    6,                    6,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    7,                    7,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    8,                    8,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    9,                    9,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    10,                    10,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    11,                    11,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    12,                    12,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    13,                    13,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    14,                    14,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    15,                    15,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    16,                    16,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    17,                    17,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    18,                    18,                    321,                    37.745,                    39,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
