&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
forzone_d =0,                    0,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1,                    1
deepbc =1,                    1,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    2,                    2,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    3,                    3,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    4,                    4,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    5,                    5,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    6,                    6,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    7,                    7,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    8,                    8,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    9,                    9,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    10,                    10,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    11,                    11,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    12,                    12,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    13,                    13,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    14,                    14,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    15,                    15,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    16,                    16,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    17,                    17,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    18,                    18,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    19,                    19,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    20,                    20,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    21,                    21,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    22,                    22,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    23,                    23,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    24,                    24,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    25,                    25,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    26,                    26,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    27,                    27,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    28,                    28,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    29,                    29,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    30,                    30,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    31,                    31,                    274,                    36.279,                    43,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    32,                    32,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    33,                    33,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    34,                    34,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    35,                    35,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    36,                    36,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    37,                    37,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    38,                    38,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    39,                    39,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    40,                    40,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    41,                    41,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    42,                    42,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    43,                    43,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    44,                    44,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    45,                    45,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    46,                    46,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    47,                    47,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    48,                    48,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    49,                    49,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    50,                    50,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    51,                    51,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    52,                    52,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    53,                    53,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    54,                    54,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    55,                    55,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    56,                    56,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    57,                    57,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    58,                    58,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    59,                    59,                    277,                    37.327,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    60,                    60,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    61,                    61,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    62,                    62,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    63,                    63,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    64,                    64,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    65,                    65,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    66,                    66,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    67,                    67,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    68,                    68,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    69,                    69,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    70,                    70,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    71,                    71,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
                                    72,                    72,                    304,                    37.551,                    42,                    0.105,                    4,                    26000,                    19402,                    3919,                    0,                    0,                    
