&bc
headings1 = 'timestep',    'time',    'oxy',    'amm',    'frp',    'poml',    'pomr',    'so4',    'nit',    'no2',    'salinity',    'pomspecial'
forzone = 0,    0,    1,    1,    1,    1,    1,    1,    1,    1,    1,    1
swibc = 0,    1,    206.71,    0.022,    0.19,    8470.73,    2117.68,    30000,    0.56,    0.24,    36008.9,    1
1,    182.5,    206.71,    0.022,    0.19,    8470.73,    2117.68,    30000,    0.56,    0.24,    36008.9,    1
2,    547.5,    206.71,    0.022,    0.19,    8470.73,    2117.68,    30000,    0.56,    0.24,    36008.9,    1
3,    1825,    206.71,    0.022,    0.19,    8470.73,    2117.68,    32399.82,    0.56,    0.24,    35999.8,    1
4,    1825.2,    232.0534,    0.2599,    0.0703,    17917.12,    4479.28,    32400,    0.00007,    0.00003,    36000,    0.0000000001
5,    1825.4,    227.7295,    0.3131,    0.075,    17885,    4471.25,    32400.81,    0.00014,    0.00006,    36000.9,    0.0000000001
6,    1825.6,    224.5506,    0.36,    0.0791,    17835.36,    4458.84,    32400.99,    0.0007,    0.0003,    36001.1,    0.0000000001
7,    1825.8,    223.8003,    0.3799,    0.0777,    17096.6,    4274.15,    32403.15,    0.01456,    0.00624,    36003.5,    0.0000000001
8,    1826,    223.0283,    0.3983,    0.0765,    16448.36,    4112.09,    32405.49,    0.02548,    0.01092,    36006.1,    0.0000000001
9,    1826.2,    221.3435,    0.4323,    0.0788,    16246.88,    4061.72,    32406.75,    0.02436,    0.01044,    36007.5,    0.0000000001
10,    1826.4,    219.3614,    0.4669,    0.0815,    16083.36,    4020.84,    32409.18,    0.01722,    0.00738,    36010.2,    0.0000000001
11,    1826.6,    217.3698,    0.4653,    0.0827,    16159.28,    4039.82,    32409.63,    0.00203,    0.00087,    36010.7,    0.0000000001
12,    1826.8,    215.0824,    0.4748,    0.085,    16314.04,    4078.51,    32409.27,    0.00042,    0.00018,    36010.3,    0.0000000001
13,    1827,    212.4088,    0.5349,    0.0913,    16080.44,    4020.11,    32415.57,    0.00056,    0.00024,    36017.3,    0.0000000001
14,    1827.2,    211.1835,    0.5666,    0.0917,    15724.2,    3931.05,    32420.34,    0.00343,    0.00147,    36022.6,    0.0000000001
15,    1827.4,    210.242,    0.6048,    0.0943,    15586.96,    3896.74,    32422.41,    0.00245,    0.00105,    36024.9,    0.0000000001
16,    1827.6,    208.9641,    0.6228,    0.0962,    15464.32,    3866.08,    32426.37,    0.00427,    0.00183,    36029.3,    0.0000000001
17,    1827.8,    207.7544,    0.6389,    0.0986,    15397.16,    3849.29,    32427.9,    0.00378,    0.00162,    36031,    0.0000000001
18,    1828,    205.9137,    0.637,    0.0996,    15216.12,    3804.03,    32430.69,    0.00385,    0.00165,    36034.1,    0.0000000001
19,    1828.2,    204.1547,    0.6347,    0.1003,    14944.56,    3736.14,    32432.85,    0.00175,    0.00075,    36036.5,    0.0000000001
20,    1828.4,    203.5753,    0.6663,    0.1004,    14532.84,    3633.21,    32455.17,    0.00119,    0.00051,    36061.3,    0.0000000001
21,    1828.6,    202.3038,    0.8168,    0.1054,    14077.32,    3519.33,    32459.22,    0.01001,    0.00429,    36065.8,    0.0000000001
22,    1828.8,    201.7858,    1.3929,    0.1172,    13940.08,    3485.02,    32553.99,    0.08295,    0.03555,    36171.1,    0.0000000001
23,    1829,    200.6626,    1.6823,    0.1227,    13983.88,    3495.97,    32676.3,    0.10451,    0.04479,    36307,    0.0000000001
24,    1829.2,    199.7732,    1.6458,    0.1238,    14042.28,    3510.57,    32668.2,    0.10528,    0.04512,    36298,    0.0000000001
